«”г «б»Ўжб…,«бЁ—нё «б«жб,«бЁ—нё «бЋ«дн,гнЏ«ѕ «бг»«—«е,д нћ… «бг»«—«е
«бѕж—н «бг’—н,џ“б «бгЌб…,“ѕ,21:30,'0 - 3'
«бѕж—н «бг’—н,Ё«—яж,«б»дя «б«ебн,21:30,'2 - 1'
«бѕж—н «бг’—н,»н—«гнѕ“,«бг’—н,21:30,'0 - 0'
ѕж—н √»Ў«б √ж—ж»«,бнб,»—ж”н« ѕж— гждѕ,19:45,'1 - 2'
ѕж—н √»Ў«б √ж—ж»«,« б няж гѕ—нѕ,—н«б гѕ—нѕ,22:00,'1 - 0'
ѕж—н √»Ў«б √ж—ж»«,√” жд Ёнб«,ябж» »—жћ,22:00,'3 - 0'
ѕж—н √»Ў«б √ж—ж»«,√—”д«б,≈ндѕежЁд,22:00,'2 - 2'
ѕж—н «бё”г «бЋ«дн-√,б«Ённд« √Ё ”н,√»ж ён— бб«”гѕ…,21:30,'0 - 1'
ѕж—н «бё”г «бЋ«дн-√,√”ж«д,«бѕ«ќбн…,21:30,'2 - 1'
ѕж—н «бё”г «бЋ«дн-√,«бгё«жбжд «бЏ—»,» —жб √”нжЎ,21:30,'1 - 0'
ѕж—н «бё”г «бЋ«дн-√,»—жя”н,»бѕн… «бгЌб…,21:30,'1 - 1'
ѕж—н «бё”г «бЋ«дн-√,ж«ѕн ѕћб…,яе—»«Ѕ «б≈”г«Џнбн…,21:30,'0 - 0'
ѕж—н √»Ў«б ¬”н« ббдќ»…,д«ѕн џж«дџћж,Ён”нб яж»е,12:00,'3 - 0'
ѕж—н √»Ў«б ¬”н« ббдќ»…,я«ж«”«ян Ёж—д «б,‘«дџе«н ‘ндеж«,12:00,'4 - 0'
«бѕж—н «б жд”н,Ё«»н”,«бдћг «б”«Ќбм,15:00,'0 - 2'
«бѕж—н «б жд”н,«б’Ё«ё”№№№№н,”бнг«д «б—н«÷н,15:00,'4 - 0'
«бѕж—н «б жд”н,≈ Ќ«ѕ »д ё—ѕ«д,«б»д“— н,15:00,'1 - 0'
«бѕж—н «б жд”н,‘»н»… «бЏг—«д,«б —ћм «б—н«÷н,15:00,'2 - 2'
